iter	Passed	Remaining
625	1473	880
626	1475	877
627	1477	875
628	1479	872
629	1481	870
630	1484	867
631	1487	866
632	1489	863
633	1491	860
634	1493	858
635	1495	856
636	1498	853
637	1500	851
638	1503	849
639	1505	846
640	1507	844
641	1509	841
642	1511	839
643	1514	837
644	1517	835
645	1519	832
646	1522	830
647	1524	827
648	1526	825
649	1528	823
650	1530	820
651	1533	818
652	1535	816
653	1538	814
654	1541	812
655	1544	810
656	1548	808
657	1550	805
658	1552	803
659	1554	800
660	1556	798
661	1558	795
662	1561	793
663	1563	791
664	1566	789
665	1568	786
666	1570	784
667	1572	781
668	1575	779
669	1577	776
670	1579	774
671	1582	772
672	1583	769
673	1585	767
674	1587	764
675	1589	761
676	1591	759
677	1594	757
678	1596	754
679	1599	752
680	1601	750
681	1603	747
682	1605	745
683	1607	742
684	1610	740
685	1612	737
686	1614	735
687	1615	732
688	1618	730
689	1620	727
690	1621	725
691	1623	722
692	1626	720
693	1628	717
694	1629	715
695	1631	712
696	1633	710
697	1635	707
698	1637	705
699	1639	702
700	1642	700
701	1644	698
702	1646	695
703	1667	701
704	1670	698
705	1675	697
706	1678	695
707	1680	693
708	1682	690
709	1684	688
710	1687	685
711	1689	683
712	1691	680
713	1693	678
714	1695	675
715	1697	673
716	1699	670
717	1701	668
718	1704	666
719	1706	663
720	1708	661
721	1711	658
722	1713	656
723	1715	653
724	1716	651
725	1719	648
726	1722	646
727	1723	644
728	1725	641
729	1727	638
730	1729	636
731	1731	633
732	1733	631
733	1735	629
734	1737	626
735	1740	624
736	1742	621
737	1744	619
738	1746	616
739	1748	614
740	1750	611
741	1753	609
742	1754	607
743	1756	604
744	1759	602
745	1761	599
746	1763	597
747	1765	594
748	1768	592
749	1770	590
750	1772	587
751	1774	585
752	1776	582
753	1778	580
754	1780	577
755	1783	575
756	1784	572
757	1787	570
758	1789	568
759	1791	565
760	1792	563
761	1795	560
762	1797	558
763	1799	555
764	1801	553
765	1803	551
766	1805	548
767	1807	546
768	1809	543
769	1811	541
770	1814	538
771	1816	536
772	1818	534
773	1820	531
774	1823	529
775	1825	526
776	1827	524
777	1829	522
778	1832	519
779	1834	517
780	1836	514
781	1838	512
782	1840	510
783	1842	507
784	1845	505
785	1847	503
786	1849	500
787	1851	498
788	1853	495
789	1855	493
790	1857	490
791	1859	488
792	1862	486
793	1864	483
794	1866	481
795	1868	478
796	1870	476
797	1872	473
798	1873	471
799	1876	469
800	1878	466
801	1880	464
802	1882	461
803	1884	459
804	1886	457
805	1888	454
806	1890	452
807	1892	449
808	1894	447
809	1897	445
810	1899	442
811	1901	440
812	1903	437
813	1906	435
814	1908	433
815	1910	430
816	1912	428
817	1914	425
818	1916	423
819	1919	421
820	1921	418
821	1924	416
822	1926	414
823	1928	411
824	1930	409
825	1932	407
826	1934	404
827	1936	402
828	1939	399
829	1941	397
830	1943	395
831	1945	392
832	1947	390
833	1950	388
834	1952	385
835	1954	383
836	1956	381
837	1958	378
838	1960	376
839	1962	373
840	1964	371
841	1966	369
842	1968	366
843	1970	364
844	1972	361
845	1974	359
846	1976	357
847	1978	354
848	1980	352
849	1982	349
850	1985	347
851	1987	345
852	1990	342
853	1992	340
854	1994	338
855	1996	335
856	1999	333
857	2001	331
858	2004	329
859	2006	326
860	2007	324
861	2009	321
862	2012	319
863	2014	317
864	2016	314
865	2018	312
866	2020	309
867	2022	307
868	2024	305
869	2026	302
870	2029	300
871	2031	298
872	2034	295
873	2036	293
874	2038	291
875	2040	288
876	2042	286
877	2044	284
878	2046	281
879	2049	279
880	2051	277
881	2053	274
882	2055	272
883	2058	270
884	2060	267
885	2062	265
886	2064	263
887	2066	260
888	2068	258
889	2070	255
890	2072	253
891	2074	251
892	2076	248
893	2078	246
894	2081	244
895	2083	241
896	2085	239
897	2087	237
898	2089	234
899	2091	232
900	2093	230
901	2095	227
902	2097	225
903	2099	222
904	2101	220
905	2103	218
